hospital_name,county,level,ownership
Kianjugu Dispensary,Murang'A,Level 2,Ministry of Health
Chepkopegh Dipensary,West Pokot,Level 2,Ministry of Health
Shiru Health Centre,Vihiga,Level 3,Ministry of Health
Gikono Dispensary,Murang'A,Level 2,Ministry of Health
Chemelil Dispensary,Nandi,Level 2,Ministry of Health
Kiwalwa Dispensary,Taita Taveta,Level 2,Ministry of Health
Chemoiben Dispensary,Kericho,Level 2,Ministry of Health
Chepkigen Dispensary,Uasin Gishu,Level 2,Ministry of Health
Chemworor Health Centre,Elegeyo-Marakwet,Level 3,Ministry of Health
Tugumoi Dispensary (Metkei),Elegeyo-Marakwet,Level 2,Ministry of Health
Nairobi Womens Hospital (Hurlingham),Nairobi,Level 4,Private Enterprise (Institution)
Kibwezi Huruma Medical Clinic and Laboratory,Makueni,Level 2,Private Practice - Nurse / Midwifery
Muhabini Medical Clinic,Vihiga,Level 2,Private Practice - Nurse / Midwifery
Borabu Nursing Home,Nyamira,Level 3,Private Practice - Nurse / Midwifery
Mother Land Medical Clinic,Kiambu,Level 2,Private Enterprise (Institution)
Bahati Health Centre,Nairobi,Level 3,Ministry of Health
GK Prisons Dispensary (Busia),Busia,Level 2,Public Institution
Cheptongei Dispensary,Elegeyo-Marakwet,Level 2,Ministry of Health
Malaba Dispensary,Busia,Level 2,Ministry of Health
Mutarakwa Dispensary (Molo),Nakuru,Level 2,Ministry of Health
Getrudes Hospital (Nairobi West Clinic),Nairobi,Level 2,Private Enterprise (Institution)
Ochude Dispensary,Busia,Level 2,Ministry of Health
Moru Karisa Dispensary,Busia,Level 2,Ministry of Health
Lukolis Model Health Centre,Busia,Level 3,Ministry of Health
Tana Medical Clinic (Yatta),Machakos,Level 2,Private Enterprise (Institution)
Tudor Health Care,Mombasa,Level 2,Private Enterprise (Institution)
Imani Medical Clinic,Meru,Level 2,Private Enterprise (Institution)
Obekai Dispensary,Busia,Level 2,Ministry of Health
Rongena Dispensary,Bomet,Level 2,Ministry of Health
Eastleigh Health Centre,Nairobi,Level 3,Ministry of Health
Olposimoru Dispensary,Narok,Level 2,Ministry of Health
Poole Dispensary,West Pokot,Level 2,Ministry of Health
Osupuko Dispensary,Narok,Level 2,Ministry of Health
The Mediance Nursing Home,Machakos,Level 2,Private Enterprise (Institution)
Osorongai Dispensary,Uasin Gishu,Level 2,Ministry of Health
Kamuneru Dispensary,Bungoma,Level 2,Ministry of Health
Nyaburi Clinic,Migori,Level 2,Private Enterprise (Institution)
Minjore Dispensary,Laikipia,Level 2,Ministry of Health
Rocco Dispensary,Nakuru,Level 2,Ministry of Health
Tigoi Health Centre,Vihiga,Level 3,Ministry of Health
Annet Dispensary,West Pokot,Level 2,Ministry of Health
Pserum Dispensary,West Pokot,Level 2,Ministry of Health
Merto Dispensary,Kericho,Level 2,Ministry of Health
Iltilal Health Centre,Kajiado,Level 3,Ministry of Health
Cheramei Dispensary,Uasin Gishu,Level 2,Ministry of Health
Salama Health Centre (Laikipia West),Laikipia,Level 3,Ministry of Health
Soamam Medical Clinic,Nyamira,Level 2,Private Enterprise (Institution)
Jordan Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Chepsiro Dispensary,Trans Nzoia,Level 2,Ministry of Health
Kisiiki Dispensary,Machakos,Level 2,Ministry of Health
Mikindani Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Cdc Ganjoni Dispensary,Mombasa,Level 2,Ministry of Health
Imbiakalo Dispensary,Kakamega,Level 2,Ministry of Health
Women Care Clinic,Garissa,Level 2,Private Enterprise (Institution)
Cheptobot Dispensary,Elegeyo-Marakwet,Level 3,Ministry of Health
Rimoi Dispensary,Elegeyo-Marakwet,Level 2,Ministry of Health
Jadi Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Kimoloi Dispensary,Elegeyo-Marakwet,Level 2,Ministry of Health
Pamar Medical Clinic,Mombasa,Level 2,Company Medical Service
Mamba Dispensary (Yatta),Machakos,Level 2,Ministry of Health
Tabare Dispensary,Elegeyo-Marakwet,Level 2,Ministry of Health
Mbembani Dispensary,Machakos,Level 2,Ministry of Health
Maunguja Dispensary,Mombasa,Level 2,Ministry of Health
Al-Bir Medical Centre (Kilindini),Mombasa,Level 2,Private Enterprise (Institution)
Simbi Dispensary,Bomet,Level 2,Ministry of Health
Ndalani Dispensary,Machakos,Level 2,Ministry of Health
Riwo Dispensary,Baringo,Level 2,Ministry of Health
Wananchi Medical Clinic (Kilindini),Mombasa,Level 2,Private Enterprise (Institution)
Sabor Dispensary,Baringo,Level 2,Ministry of Health
Radat Dispensary,Baringo,Level 2,Ministry of Health
Mt Elgon  County Hospital,Trans Nzoia,Level 3,Ministry of Health
Kenya Airways Medical Centre,Nairobi,Level 2,Private Practice - Medical Specialist
Chepkechir Dispensary,West Pokot,Level 2,Ministry of Health
Chepcholiet Dispensary,Kericho,Level 2,Ministry of Health
NYS Dispensary (Mavoloni),Machakos,Level 2,Ministry of Health
Sina Dispensary,West Pokot,Level 2,Ministry of Health
Chepkemel Dispensary,Uasin Gishu,Level 2,Ministry of Health
Ongata Dispensary,Uasin Gishu,Level 2,Ministry of Health
St Kizito Mission,Machakos,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Ptoyo Dipensary,West Pokot,Level 2,Ministry of Health
Ngong Road Dispensary,Nairobi,Level 2,Ministry of Health
Mirugi Kariuki Dispensary,Nakuru,Level 2,Ministry of Health
Ol-Rongai Dispensary (Rongai),Nakuru,Level 2,Ministry of Health
Oromodei Dispensary,Samburu,Level 2,Ministry of Health
Olorte Dispensary,Narok,Level 2,Ministry of Health
Cherara Dispensary,Kericho,Level 2,Ministry of Health
Sondany Dispensary,West Pokot,Level 2,Other Faith Based
Bunde Dispensary,Kisumu,Level 2,Ministry of Health
Imulama Dispensary,Kakamega,Level 2,Ministry of Health
Chesetan Dispensary,Elegeyo-Marakwet,Level 2,Ministry of Health
Amagoro Nursing Home,Busia,Level 2,Private Enterprise (Institution)
Huruma Lions Dispensary,Nairobi,Level 2,Ministry of Health
Aboloi Dispensary,Busia,Level 2,Ministry of Health
Amase Dispensary,Busia,Level 2,Ministry of Health
Borabu Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Apokor Dispensary,Busia,Level 2,Ministry of Health
Kapletundo Dispensary,Bomet,Level 2,Ministry of Health
Merigi Dispensary,Bomet,Level 2,Ministry of Health
Dr Were Medical Clinic,Nairobi,Level 2,Private Practice - General Practitioner
Utange Dispensary,Mombasa,Level 2,Ministry of Health
Mikanjuni Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Kosele Dispensary,Homa Bay,Level 2,Ministry of Health
Karunga Dispensary,Nakuru,Level 2,Ministry of Health
Kapyemit Dispensary,Uasin Gishu,Level 2,Ministry of Health
Kebeneti Dispensary,Kericho,Level 2,Ministry of Health
Kapsasian Dispensary,Narok,Level 2,Ministry of Health
Katuiyo Dispensary,Uasin Gishu,Level 2,Ministry of Health
Mandera Medicare Clinic,Mandera,Level 2,Private Enterprise (Institution)
Lokwii Health center,Turkana,Level 3,Ministry of Health
Keben Dispensary,Nandi,Level 2,Ministry of Health
Kedowa Dispensary,Kericho,Level 3,Ministry of Health
St Getrude Dispensary,Uasin Gishu,Level 2,Other Faith Based
Liavo Medical Clinic (Kwanza),Trans Nzoia,Level 2,Private Practice - General Practitioner
Lokori (AIC) Health Centre,Turkana,Level 3,Christian Health Association of Kenya
Seed of Hope Medical Clinic,Trans Nzoia,Level 2,Non-Governmental Organizations
Kericho Forest Dispensary,Kericho,Level 2,Ministry of Health
Kapelibok Dispensary,Turkana,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Juluk Dispensary,Turkana,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Benon Dispensary,Trans Nzoia,Level 2,Ministry of Health
Kambu Catholic Dispensary,Makueni,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Kikton Medical Clinic,Turkana,Level 2,Private Practice - General Practitioner
Afya Bora Medical Clinic (Turkana Central),Turkana,Level 2,Private Practice - Clinical Officer
Tumaini Medical Clinic (Turkana Central),Turkana,Level 2,Private Practice - Clinical Officer
Ahero Medical Clinic,Nakuru,Level 2,Ministry of Health
Morulem Dispensary,Turkana,Level 2,Ministry of Health
Lokwamosing Dispensary,Turkana,Level 2,Ministry of Health
Nakukulas Dispensary,Turkana,Level 2,Ministry of Health
Embakasi Health Centre,Nairobi,Level 3,Ministry of Health
Miskwony Dispensary,West Pokot,Level 2,Ministry of Health
Nachecheyet Dispensary,West Pokot,Level 2,Ministry of Health
West Gate Dispensary,Samburu,Level 2,Ministry of Health
Mbonzuki Dispensary,Embu,Level 2,Ministry of Health
Kapkondo Dispensary,Kericho,Level 2,Ministry of Health
Starlight Mti Moja,Uasin Gishu,Level 2,Ministry of Health
Jamii Clinic (Westlands),Nairobi,Level 2,Private Enterprise (Institution)
Okiki Amayo Health Centre,Homa Bay,Level 3,Ministry of Health
Vanga Health Centre,Kwale,Level 3,Ministry of Health
Homa Hills Health Centre,Homa Bay,Level 3,Non-Governmental Organizations
Dabel Health Centre (Moyale),Marsabit,Level 3,Ministry of Health
Kiunga Health Centre,Lamu,Level 3,Ministry of Health
Faza Hospital,Lamu,Level 4,Ministry of Health
Immaculate Heart of Mary Hospital,Kiambu,Level 4,Kenya Episcopal Conference-Catholic Secretariat
Kapsogut Dispensary,Kericho,Level 2,Ministry of Health
Giaki Sub-District Hospital,Meru,Level 4,Ministry of Health
Ruiru Hospital Limited,Kiambu,Level 3,Private Enterprise (Institution)
Gsu Dispensary (Kibish),Turkana,Level 2,Armed Forces
Chepterwo Dispensary,Kericho,Level 2,Ministry of Health
Cheptebo Dispensary,Elegeyo-Marakwet,Level 2,Ministry of Health
Kimawit-Uswet Dispensary,Bomet,Level 2,Ministry of Health
Chepwostuiyet Dispensary,Bomet,Level 2,Ministry of Health
Mung'ang'a (ACK) Dispensary,Kirinyaga,Level 2,Christian Health Association of Kenya
Nkabune Dispensary,Meru,Level 2,Christian Health Association of Kenya
St Philips (ACK) Dispensary Ndiriti,Kirinyaga,Level 2,Christian Health Association of Kenya
Bofu Dispensary,Kwale,Level 2,Ministry of Health
Fincharo Dispensary,Mandera,Level 2,Ministry of Health
Githunguri Health Centre (Ruiru),Kiambu,Level 3,Ministry of Health
Mtaa Dispensary,Kwale,Level 2,Ministry of Health
Mazeras Dispensary,Kwale,Level 2,Ministry of Health
Karatina Home Based Care Dispensary,Nyeri,Level 2,Ministry of Health
Rwanyange Dispensary,Meru,Level 2,Ministry of Health
Kiitini Dispensary,Machakos,Level 2,Ministry of Health
Odda Dispensary (Moyale),Marsabit,Level 2,Ministry of Health
Godoma Model Health Centre (Moyale),Marsabit,Level 2,Ministry of Health
Kyawalia Dispensary,Machakos,Level 2,Ministry of Health
Kathanjuri Dispensary,Embu,Level 2,Ministry of Health
Kathithi Dispensary,Meru,Level 2,Ministry of Health
Kalama Dispensary,Machakos,Level 2,Ministry of Health
Mkokoni Dispensary,Lamu,Level 2,Ministry of Health
Oaklands Estate Dispensary,Kiambu,Level 2,Company Medical Service
Mchana Estate Dispensary,Kiambu,Level 2,Private Enterprise (Institution)
Kenene Dispensary,Kericho,Level 2,Ministry of Health
Mnyenzeni Dispensary,Kwale,Level 2,Ministry of Health
Malkamari Health Centre (Malkamari),Mandera,Level 3,Ministry of Health
Kenyagoro Dispensary,Bomet,Level 2,Ministry of Health
Nthongoni Dispensary (Kibwezi),Makueni,Level 3,Ministry of Health
St Mary Medical Clinic,Nyeri,Level 2,Ministry of Health
Lucimed Clinic,Laikipia,Level 2,Ministry of Health
Kasisit Dispensary,Baringo,Level 2,Ministry of Health
Manyatta Medical Clinic (Nyeri South),Nyeri,Level 2,Private Practice - Clinical Officer
Mwea Medical Clinic Kagio,Kirinyaga,Level 2,Private Practice - Clinical Officer
Uzima Medical Clinic (Nyeri North),Nyeri,Level 2,Private Practice - Clinical Officer
Ngai Murunya Health Service,Kajiado,Level 2,Private Practice - General Practitioner
Plainsview Nursing Home,Kiambu,Level 4,Private Practice - General Practitioner
St Peter Claver R Clinic,Kajiado,Level 2,Ministry of Health
Alum Beach Dispensary,Homa Bay,Level 2,Ministry of Health
Shimbir Fatuma Health Centre,Mandera,Level 3,Ministry of Health
Kirindine Nursing Home,Meru,Level 2,Private Enterprise (Institution)
Kiawaithanji Medical Clinic,Nyeri,Level 2,Private Practice - Nurse / Midwifery
Kasok Dispensary,Baringo,Level 2,Ministry of Health
Nzeveni Dispensary,Makueni,Level 3,Ministry of Health
Joska Medical Care Clinic,Meru,Level 2,Private Enterprise (Institution)
Joska Medical Care,Meru,Level 2,Private Enterprise (Institution)
Mutethia Clinic,Meru,Level 2,Private Enterprise (Institution)
Al-Maqdis ENT Clinic,Garissa,Level 2,Private Enterprise (Institution)
Ideal Medical /Fp Clinic,Meru,Level 2,Private Enterprise (Institution)
Ideal Health Laboratory,Meru,Level 2,Private Enterprise (Institution)
Shikamoo Medical Clinic,Kiambu,Level 2,Private Practice - Clinical Officer
Giaki Clinic,Meru,Level 2,Private Enterprise (Institution)
Kim's Intergrated Clinic,Meru,Level 2,Private Enterprise (Institution)
Ruiru East Medical Clinic,Kiambu,Level 2,Ministry of Health
Imani Medical Clinic (Ruiru),Kiambu,Level 2,Ministry of Health
St Camellus Medical Clinic,Kajiado,Level 2,Private Enterprise (Institution)
Thimangiri Medical Clinic,Meru,Level 2,Private Enterprise (Institution)
Sorok Dispensary,Baringo,Level 2,Ministry of Health
Ruiru Diagnostic Centre,Kiambu,Level 2,Ministry of Health
Ruiru Sub-County Hospital,Kiambu,Level 4,Ministry of Health
Kasiela Dispensary,Baringo,Level 2,Ministry of Health
Dwa Health Centre,Makueni,Level 3,Company Medical Service
Yururu Medical Clinic,Meru,Level 2,Private Enterprise (Institution)
Buruburu Medical Clinic,Nairobi,Level 2,Private Enterprise (Institution)
Kapsimotwa Dispensary,Bomet,Level 2,Ministry of Health
Wayani Medical Clinic (Changamwe),Mombasa,Level 2,Private Enterprise (Institution)
St Agnes Clinic,Migori,Level 2,Private Enterprise (Institution)
St Mary's Medical Clinic (Ruiru),Kiambu,Level 2,Private Enterprise (Institution)
St Josef Medical Clinic,Kiambu,Level 2,Ministry of Health
Muringombugi Clinic,Meru,Level 2,Private Enterprise (Institution)
Kithyululu Dispensary,Makueni,Level 2,Ministry of Health
Kaptumek Dispensary,Nandi,Level 2,Ministry of Health
Kapsengere Dispensary,Nandi,Level 2,Ministry of Health
Kapsorok Dispenasry,Kericho,Level 2,Ministry of Health
Abel Migwi Johana Laboratory,Kirinyaga,Level 2,Private Enterprise (Institution)
Othaya Dental Clinic,Nyeri,Level 2,Private Enterprise (Institution)
Kapsamoch Dispensary,Nandi,Level 2,Ministry of Health
Huruma Maternity Hospital,Nairobi,Level 4,Private Enterprise (Institution)
Coffee Research Staff Dispensary,Kiambu,Level 2,Company Medical Service
Roadblock Clinic,Homa Bay,Level 2,Private Enterprise (Institution)
Masongaleni Health Centre,Makueni,Level 3,Ministry of Health
Kapseger Dispensary,Kericho,Level 2,Ministry of Health
Kunyak Dispensary,Kericho,Level 2,Ministry of Health
Kaptabuk Dispensary,West Pokot,Level 2,Ministry of Health
Kaptumo Dispensary,Uasin Gishu,Level 2,Ministry of Health
Kapsetek Dispensary,Nakuru,Level 2,Ministry of Health
Kemeloi Health Centre,Nandi,Level 3,Ministry of Health
Kaputir Dispensary,Turkana,Level 2,Ministry of Health
Kapweria Dispensary,Narok,Level 2,Ministry of Health
Karaba Dispensary (Laikipia West),Laikipia,Level 2,Ministry of Health
Kaptich Dispensary,Nandi,Level 2,Ministry of Health
Kaptum Dispensary,Baringo,Level 2,Ministry of Health
Katee Dispensary,Elegeyo-Marakwet,Level 2,Ministry of Health
Kapyego Health Centre,Elegeyo-Marakwet,Level 3,Ministry of Health
Kaptagat Forest Dispensary,Elegeyo-Marakwet,Level 2,Ministry of Health
Kapsowar Dispensary,Elegeyo-Marakwet,Level 2,Ministry of Health
Kapoleseroi Dispensary,Bomet,Level 2,Ministry of Health
Kaptiony Dispensary,Baringo,Level 2,Ministry of Health
Katibel Dispensary,Baringo,Level 2,Ministry of Health
Kapkeburu Dispensary,Kericho,Level 2,Ministry of Health
Kanyarkwat Dispensary,West Pokot,Level 2,Ministry of Health
Kapkeben Dispensary,Nandi,Level 2,Ministry of Health
Kapkenyeloi Dispensary,Nandi,Level 2,Ministry of Health
Tamkal Dispensary,West Pokot,Level 2,Ministry of Health
Kapkolei Dispensary,Nandi,Level 2,Ministry of Health
Ngwata Health Centre,Makueni,Level 3,Ministry of Health
Kaplelach Chepyakwai,Uasin Gishu,Level 2,Ministry of Health
Kaplelach Tumoge,Uasin Gishu,Level 2,Ministry of Health
Kaplelartet Dispensary,Kericho,Level 2,Ministry of Health
Chuiyat Dispensary,Uasin Gishu,Level 2,Ministry of Health
Kapkimolwa Dispensary,Bomet,Level 2,Ministry of Health
Kapkole Dispensary,Baringo,Level 2,Ministry of Health
Kaplenge Dispensary,Elegeyo-Marakwet,Level 2,Ministry of Health
Kapkata Dispensary,Elegeyo-Marakwet,Level 2,Ministry of Health
Kapchelal Dispensary,Elegeyo-Marakwet,Level 2,Ministry of Health
Jericho Health Centre,Nairobi,Level 2,Ministry of Health
Kapkesosio Dispensary,Bomet,Level 2,Ministry of Health
Kapchepkor Dispensary,Baringo,Level 2,Ministry of Health
Kapkelelwa Dispensary,Baringo,Level 2,Ministry of Health
Kaplel Dispensary,Baringo,Level 2,Ministry of Health
Kapkuei Dispensary,Baringo,Level 2,Ministry of Health
Kasitet Dispensary,Baringo,Level 2,Ministry of Health
Keturwo Dispensary,Baringo,Level 2,Ministry of Health
Kuinet Dispensary,Uasin Gishu,Level 2,Ministry of Health
Kurangurik Health centre,Narok,Level 3,Ministry of Health
Kalaacha Dispensary,Kericho,Level 2,Ministry of Health
Kabiemit Dispensary (Mosop),Nandi,Level 2,Ministry of Health
Kabisaga Dispensary,Nandi,Level 2,Ministry of Health
Kaboeito Dispensary,Kericho,Level 2,Ministry of Health
Kabolecho Dispensary,Narok,Level 2,Ministry of Health
Kaborok Dispensary,Kericho,Level 2,Ministry of Health
Kangatosa Dispensary,Turkana,Level 2,Ministry of Health
Kabunyeria Health Centre,Nandi,Level 2,Ministry of Health
Kaibos Dipensary,West Pokot,Level 2,Ministry of Health
Kainuk Health Centre,Turkana,Level 3,Ministry of Health
Kaitui Dispensary,Kericho,Level 2,Ministry of Health
Karagita Dispensary,Nakuru,Level 2,Ministry of Health
Kapngetuny Dispensary,Uasin Gishu,Level 2,Ministry of Health
Kamelil Dispensary (Tinderet),Nandi,Level 2,Ministry of Health
Kakiptui Dispensary,Kericho,Level 2,Ministry of Health
Kangakipur Dispensary,Turkana,Level 2,Ministry of Health
Chepkongony Dispensary,Nandi,Level 2,Ministry of Health
Kamwingi Dispensary,Kericho,Level 2,Ministry of Health
Chesubet Dispensary,Elegeyo-Marakwet,Level 2,Ministry of Health
Kamoi Dispensary,Elegeyo-Marakwet,Level 2,Ministry of Health
Kamogo Health Centre,Elegeyo-Marakwet,Level 3,Ministry of Health
Kalwal Dispensary,Elegeyo-Marakwet,Level 2,Ministry of Health
Kabiemit Dispensary (Keiyo),Elegeyo-Marakwet,Level 2,Ministry of Health
Amani Medical Clinic (Kambu),Makueni,Level 2,Private Enterprise (Institution)
Kamongil Dispensary,Bomet,Level 2,Ministry of Health
Gynapaed Dispensary (Kilimani-),Nairobi,Level 2,Private Enterprise (Institution)
Ilaiser Dispensary,Narok,Level 2,Ministry of Health
Ewaso Ngiro Dispensary,Narok,Level 2,Ministry of Health
Elelea Sub-county Hospital,Turkana,Level 3,Ministry of Health
GK Prisons Dispensary (Turkana Central),Turkana,Level 2,Ministry of Health
GK Remand Prisons Dispensary (Trans Nzoia West),Trans Nzoia,Level 2,Ministry of Health
Entontol Dispensary,Narok,Level 2,Ministry of Health
Enaibor Ajijik Dispensary,Narok,Level 2,Ministry of Health
